INFO  2021-08-03 10:37:27,858 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-03 10:37:29,417 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-03 10:37:29,508 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-08-03 10:37:29,553 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-08-03 10:38:04,485 ProvinceDataService::? - Get_Province_List : MethodStart
INFO  2021-08-03 10:38:04,562 ProvinceDataService::? - Get_Province_List : MethodFinish
INFO  2021-08-03 10:39:22,064 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-03 10:39:22,092 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-03 10:39:25,052 HospitalDataService::? - Get_TCHospital_List : MethodStart
INFO  2021-08-03 10:39:25,106 HospitalDataService::? - Get_TCHospital_List : MethodFinish
INFO  2021-08-03 10:40:12,689 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-03 10:40:12,889 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-03 10:40:12,958 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-08-03 10:40:13,177 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-08-03 10:40:42,413 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-08-03 10:40:42,461 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-08-03 10:41:17,741 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-03 10:41:17,780 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-03 10:41:17,830 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-08-03 10:41:17,913 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-08-03 10:41:38,329 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-03 10:41:38,352 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-03 10:41:38,397 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-08-03 10:41:38,405 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-08-03 10:42:34,522 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-08-03 10:42:34,558 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-08-03 11:04:05,098 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-03 11:04:07,300 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-03 11:04:07,426 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-08-03 11:04:07,501 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-08-03 11:05:17,796 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-08-03 11:05:17,952 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-08-03 11:25:40,228 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-03 11:25:42,248 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-03 11:25:42,361 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-08-03 11:25:42,435 RoleDataService::? - Get_Role_List : MethodFinish
