INFO  2021-11-09 11:07:42,019 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 11:07:43,272 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 11:18:54,457 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 11:18:55,597 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 11:23:15,905 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 11:23:17,009 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 11:24:16,222 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 11:24:16,333 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 12:08:01,624 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 12:08:02,767 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 12:08:02,837 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 12:08:02,969 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 12:13:04,336 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 12:13:04,489 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 12:13:04,538 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 12:13:04,646 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 12:18:11,547 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 12:18:11,920 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 12:18:11,988 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 12:18:12,091 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 12:19:47,045 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 12:19:47,142 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 12:19:47,188 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 12:19:47,289 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:03:49,594 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:03:49,838 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:03:50,194 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:03:50,302 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:05:04,236 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:05:04,336 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:05:04,385 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:05:04,493 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:08:31,120 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:08:31,376 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:08:31,422 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:08:31,523 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:08:44,839 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:08:44,937 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:08:45,124 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:08:45,224 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:13:07,144 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:13:07,410 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:13:07,475 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:13:07,571 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:27:56,169 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:27:56,428 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:27:56,799 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:27:56,911 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:28:01,524 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:28:01,629 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:28:01,663 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:28:01,768 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:28:04,972 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:28:05,075 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:28:05,415 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:28:05,519 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:28:09,076 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:28:09,178 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:28:09,211 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:28:09,316 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:28:11,564 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:28:11,672 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:28:11,844 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:28:11,957 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:46:54,444 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:46:55,678 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:46:55,749 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:46:55,884 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:47:38,511 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:47:38,648 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:47:38,894 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:47:39,008 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:57:25,002 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:57:26,092 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 13:57:26,171 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:57:26,318 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:57:35,968 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 13:57:36,105 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 13:57:36,312 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 13:57:36,430 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 14:13:40,521 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 14:13:40,798 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 14:13:40,851 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 14:13:40,959 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 14:13:59,400 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 14:13:59,506 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 14:13:59,916 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 14:14:00,026 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 14:14:44,696 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 14:14:44,828 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 14:14:44,865 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 14:14:44,972 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 14:21:28,898 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 14:21:29,916 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 14:21:29,984 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 14:21:30,115 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 14:22:23,175 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 14:22:23,319 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 14:22:23,406 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-11-09 14:22:23,690 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-11-09 14:24:27,840 ProvinceDataService::? - Get_Province_List : MethodStart
INFO  2021-11-09 14:24:27,949 ProvinceDataService::? - Get_Province_List : MethodFinish
INFO  2021-11-09 14:26:55,973 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 14:26:56,078 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 14:26:58,375 HospitalDataService::? - Get_TCHospital_List : MethodStart
INFO  2021-11-09 14:26:58,523 HospitalDataService::? - Get_TCHospital_List : MethodFinish
INFO  2021-11-09 14:27:57,915 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 14:27:58,023 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 14:27:58,067 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-11-09 14:27:58,164 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-11-09 14:28:34,265 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 14:28:34,370 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 14:28:39,499 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 14:28:39,593 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 14:58:42,661 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-09 14:58:43,782 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-09 14:58:43,848 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-09 14:58:43,988 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-09 14:59:00,382 LabDataService::? - Get_AllLab_List : MethodStart
