INFO  2021-09-29 09:16:22,231 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2021-09-29 09:16:24,233 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2021-09-29 09:16:27,565 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 09:16:27,863 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 09:16:36,334 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 09:16:36,496 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 09:16:36,915 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-29 09:16:37,020 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-29 09:16:37,091 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-29 09:16:37,235 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-29 09:16:37,318 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-29 09:16:37,381 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-29 09:16:37,445 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-29 09:16:37,512 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-29 09:16:37,570 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-29 09:16:37,640 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-29 09:16:37,706 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2021-09-29 09:16:37,838 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2021-09-29 09:16:37,898 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2021-09-29 09:16:37,950 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2021-09-29 09:16:38,007 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 09:16:38,143 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 09:16:45,585 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 09:16:45,698 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 09:16:49,320 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 09:16:49,424 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 09:17:29,175 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 09:17:29,283 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 09:17:30,744 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 09:17:30,866 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 09:17:31,063 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-29 09:17:31,117 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-29 09:17:31,162 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-29 09:17:31,254 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-29 09:17:31,306 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-29 09:17:31,348 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-29 09:17:31,385 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
