Log Entry : 9:22:37 AM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 9:22:38 AM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 9:22:39 AM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 9:22:39 AM Friday, October 1, 2021 : Row : 1 Detail : The process cannot access the file 'D:\TEMP\20211001\001071600\NAH-DISK-03-2020.xlsx' because it is being used by another process.
Log Entry : 9:24:31 AM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 9:24:32 AM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 9:24:33 AM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 9:24:33 AM Friday, October 1, 2021 : End Read File ...
Log Entry : 9:24:33 AM Friday, October 1, 2021 : Start Header Data ...
Log Entry : 9:24:41 AM Friday, October 1, 2021 : End Header Data ...
Log Entry : 9:24:41 AM Friday, October 1, 2021 : Start Save Detail ...
Log Entry : 9:24:41 AM Friday, October 1, 2021 : End Save Detail ...
Log Entry : 9:24:41 AM Friday, October 1, 2021 : >> End File Name : NAH-DISK-03-2020.xlsx
Log Entry : 9:24:41 AM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 9:44:39 AM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 9:44:49 AM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 9:45:07 AM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 9:45:13 AM Friday, October 1, 2021 : End Read File ...
Log Entry : 9:45:18 AM Friday, October 1, 2021 : Start Header Data ...
Log Entry : 9:46:48 AM Friday, October 1, 2021 : End Header Data ...
Log Entry : 9:46:48 AM Friday, October 1, 2021 : Start Save Detail ...
Log Entry : 9:46:48 AM Friday, October 1, 2021 : End Save Detail ...
Log Entry : 9:46:48 AM Friday, October 1, 2021 : >> End File Name : NAH-DISK-03-2020.xlsx
Log Entry : 9:46:48 AM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 11:25:13 AM Friday, October 1, 2021 : Batch Lab Start 0/0 files ...
Log Entry : 11:25:14 AM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 11:25:46 AM Friday, October 1, 2021 : Batch Lab Start 0/0 files ...
Log Entry : 11:25:47 AM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 11:26:31 AM Friday, October 1, 2021 : Batch Lab Start 0/0 files ...
Log Entry : 11:26:32 AM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 11:33:52 AM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 11:33:52 AM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 11:33:53 AM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 11:33:53 AM Friday, October 1, 2021 : End Read File ...
Log Entry : 11:33:53 AM Friday, October 1, 2021 : Start Header Data ...
Log Entry : 11:34:00 AM Friday, October 1, 2021 : End Header Data ...
Log Entry : 11:34:00 AM Friday, October 1, 2021 : Start Save Detail ...
Log Entry : 11:34:00 AM Friday, October 1, 2021 : End Save Detail ...
Log Entry : 11:34:00 AM Friday, October 1, 2021 : >> End File Name : NAH-DISK-03-2020.xlsx
Log Entry : 11:34:00 AM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 11:36:43 AM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 11:36:43 AM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 11:36:45 AM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 11:36:45 AM Friday, October 1, 2021 : End Read File ...
Log Entry : 11:36:45 AM Friday, October 1, 2021 : Start Header Data ...
