Log Entry : 9:36:51 AM Friday, February 4, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 9:36:52 AM Friday, February 4, 2022 : >> Hos : (001497200-โรงพยาบาลมหาวิทยาลัยนเรศวร) File Name : NUH_ZONE_01-21.DBF
Log Entry : 9:36:53 AM Friday, February 4, 2022 : Read File (.DBF) ...
Log Entry : 9:37:45 AM Friday, February 4, 2022 : Start Save Header List ...
Log Entry : 9:37:45 AM Friday, February 4, 2022 : End Save Header List ...
Log Entry : 9:37:45 AM Friday, February 4, 2022 : Start Export Detail ...
Log Entry : 9:37:45 AM Friday, February 4, 2022 : End Export Detail ...
Log Entry : 9:37:45 AM Friday, February 4, 2022 : End Read File (.DBF) ...
Log Entry : 9:37:46 AM Friday, February 4, 2022 : >> End File Name : NUH_ZONE_01-21.DBF
Log Entry : 9:37:46 AM Friday, February 4, 2022 : Batch Lab Complete ...
Log Entry : 10:47:00 AM Friday, February 4, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 10:47:01 AM Friday, February 4, 2022 : >> Hos : (001497200-โรงพยาบาลมหาวิทยาลัยนเรศวร) File Name : NUH_ZONE_02-21.DBF
Log Entry : 10:47:01 AM Friday, February 4, 2022 : Read File (.DBF) ...
Log Entry : 10:47:56 AM Friday, February 4, 2022 : Start Save Header List ...
Log Entry : 10:47:57 AM Friday, February 4, 2022 : End Save Header List ...
Log Entry : 10:47:57 AM Friday, February 4, 2022 : Start Export Detail ...
Log Entry : 10:47:57 AM Friday, February 4, 2022 : End Export Detail ...
Log Entry : 10:47:57 AM Friday, February 4, 2022 : End Read File (.DBF) ...
Log Entry : 10:47:57 AM Friday, February 4, 2022 : >> End File Name : NUH_ZONE_02-21.DBF
Log Entry : 10:47:57 AM Friday, February 4, 2022 : Batch Lab Complete ...
Log Entry : 11:36:40 AM Friday, February 4, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 11:36:41 AM Friday, February 4, 2022 : >> Hos : (001073900-โรงพยาบาลพังงา) File Name : PGN101221.DBF
Log Entry : 11:36:42 AM Friday, February 4, 2022 : Read File (.DBF) ...
Log Entry : 11:43:01 AM Friday, February 4, 2022 : Start Save Header List ...
Log Entry : 11:43:02 AM Friday, February 4, 2022 : End Save Header List ...
Log Entry : 11:43:02 AM Friday, February 4, 2022 : Start Export Detail ...
Log Entry : 11:43:03 AM Friday, February 4, 2022 : End Export Detail ...
Log Entry : 11:43:03 AM Friday, February 4, 2022 : End Read File (.DBF) ...
Log Entry : 11:43:04 AM Friday, February 4, 2022 : >> End File Name : PGN101221.DBF
Log Entry : 11:43:04 AM Friday, February 4, 2022 : Batch Lab Complete ...
Log Entry : 2:46:10 PM Friday, February 4, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 2:46:10 PM Friday, February 4, 2022 : >> Hos : (001071000-โรงพยาบาลสกลนคร) File Name : SKN_MIC.xlsx
Log Entry : 2:46:11 PM Friday, February 4, 2022 : Start Read File ... 
Log Entry : 2:46:11 PM Friday, February 4, 2022 : End Read File ...
Log Entry : 2:46:11 PM Friday, February 4, 2022 : Start Header Data ...
Log Entry : 2:49:31 PM Friday, February 4, 2022 : End Header Data ...
Log Entry : 2:49:35 PM Friday, February 4, 2022 : Start Save Header List ...
Log Entry : 2:49:48 PM Friday, February 4, 2022 : End Save Header List ...
Log Entry : 2:49:48 PM Friday, February 4, 2022 : Start Save Detail ...
Log Entry : 2:49:48 PM Friday, February 4, 2022 : End Save Detail ...
Log Entry : 2:49:48 PM Friday, February 4, 2022 : >> End File Name : SKN_MIC.xlsx
Log Entry : 2:49:48 PM Friday, February 4, 2022 : Batch Lab Complete ...
