Log Entry : 10:55:34 AM Monday, February 7, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 10:55:35 AM Monday, February 7, 2022 : >> Hos : (001071000-โรงพยาบาลสกลนคร) File Name : SKNMIC2-64.xlsx
Log Entry : 10:55:36 AM Monday, February 7, 2022 : Start Read File ... 
Log Entry : 10:55:54 AM Monday, February 7, 2022 : End Read File ...
Log Entry : 10:55:54 AM Monday, February 7, 2022 : Start Header Data ...
Log Entry : 11:52:29 AM Monday, February 7, 2022 : End Header Data ...
Log Entry : 11:53:13 AM Monday, February 7, 2022 : Start Save Header List ...
Log Entry : 11:55:01 AM Monday, February 7, 2022 : End Save Header List ...
Log Entry : 11:55:04 AM Monday, February 7, 2022 : Start Save Detail ...
Log Entry : 11:55:05 AM Monday, February 7, 2022 : End Save Detail ...
Log Entry : 11:55:39 AM Monday, February 7, 2022 : >> End File Name : SKNMIC2-64.xlsx
Log Entry : 11:55:39 AM Monday, February 7, 2022 : Batch Lab Complete ...
