Log Entry : 9:56:03 AM Wednesday, June 1, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 9:56:04 AM Wednesday, June 1, 2022 : >> Hos : (001068300-โรงพยาบาลตรัง) File Name : test_Etest-2020.xlsx
Log Entry : 9:56:06 AM Wednesday, June 1, 2022 : Start Read File ... 
Log Entry : 9:56:06 AM Wednesday, June 1, 2022 : End Read File ...
Log Entry : 9:56:06 AM Wednesday, June 1, 2022 : Start Header Data ...
Log Entry : 9:56:12 AM Wednesday, June 1, 2022 : End Header Data ...
Log Entry : 9:56:12 AM Wednesday, June 1, 2022 : Start Save Header List ...
Log Entry : 9:56:16 AM Wednesday, June 1, 2022 : End Save Header List ...
Log Entry : 9:56:16 AM Wednesday, June 1, 2022 : Start Save Detail ...
Log Entry : 9:56:16 AM Wednesday, June 1, 2022 : End Save Detail ...
Log Entry : 9:56:16 AM Wednesday, June 1, 2022 : >> End File Name : test_Etest-2020.xlsx
Log Entry : 9:56:16 AM Wednesday, June 1, 2022 : Batch Lab Complete ...
Log Entry : 4:51:00 PM Wednesday, June 1, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 4:51:00 PM Wednesday, June 1, 2022 : >> Hos : (001068300-โรงพยาบาลตรัง) File Name : test_Etest-2020.xlsx
Log Entry : 4:51:02 PM Wednesday, June 1, 2022 : Start Read File ... 
Log Entry : 4:51:02 PM Wednesday, June 1, 2022 : End Read File ...
Log Entry : 4:51:02 PM Wednesday, June 1, 2022 : Start Header Data ...
Log Entry : 5:00:38 PM Wednesday, June 1, 2022 : End Header Data ...
Log Entry : 5:00:38 PM Wednesday, June 1, 2022 : >> End File Name : test_Etest-2020.xlsx
Log Entry : 5:00:38 PM Wednesday, June 1, 2022 : Batch Lab Complete ...
Log Entry : 5:03:07 PM Wednesday, June 1, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 5:03:07 PM Wednesday, June 1, 2022 : >> Hos : (001068300-โรงพยาบาลตรัง) File Name : test_Etest-2020.xlsx
Log Entry : 5:03:10 PM Wednesday, June 1, 2022 : Start Read File ... 
Log Entry : 5:03:10 PM Wednesday, June 1, 2022 : End Read File ...
Log Entry : 5:03:10 PM Wednesday, June 1, 2022 : Start Header Data ...
Log Entry : 5:09:44 PM Wednesday, June 1, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 5:09:45 PM Wednesday, June 1, 2022 : >> Hos : (001068300-โรงพยาบาลตรัง) File Name : test_Etest-2020.xlsx
Log Entry : 5:09:46 PM Wednesday, June 1, 2022 : Start Read File ... 
Log Entry : 5:09:46 PM Wednesday, June 1, 2022 : End Read File ...
Log Entry : 5:09:46 PM Wednesday, June 1, 2022 : Start Header Data ...
Log Entry : 5:10:31 PM Wednesday, June 1, 2022 : End Header Data ...
Log Entry : 5:10:31 PM Wednesday, June 1, 2022 : Start Save NARST List ...
Log Entry : 5:10:32 PM Wednesday, June 1, 2022 : End Save NARST List ...
Log Entry : 5:10:32 PM Wednesday, June 1, 2022 : >> End File Name : test_Etest-2020.xlsx
Log Entry : 5:10:32 PM Wednesday, June 1, 2022 : Batch Lab Complete ...
