Log Entry : 9:46:34 AM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 9:46:35 AM Thursday, June 2, 2022 : >> Hos : (001066700-โรงพยาบาลบุรีรัมย์) File Name : BRH_test_MIC_SIR.xlsx
Log Entry : 9:46:37 AM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 9:46:37 AM Thursday, June 2, 2022 : End Read File ...
Log Entry : 9:46:37 AM Thursday, June 2, 2022 : Start Header Data ...
Log Entry : 9:46:48 AM Thursday, June 2, 2022 : End Header Data ...
Log Entry : 9:46:48 AM Thursday, June 2, 2022 : Start Save NARST List ...
Log Entry : 9:46:48 AM Thursday, June 2, 2022 : End Save NARST List ...
Log Entry : 9:46:49 AM Thursday, June 2, 2022 : >> End File Name : BRH_test_MIC_SIR.xlsx
Log Entry : 9:46:49 AM Thursday, June 2, 2022 : Batch Lab Complete ...
Log Entry : 10:52:29 AM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 10:52:29 AM Thursday, June 2, 2022 : >> Hos : (001066700-โรงพยาบาลบุรีรัมย์) File Name : BRH_test_MIC_SIR.xlsx
Log Entry : 10:52:31 AM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 10:52:31 AM Thursday, June 2, 2022 : End Read File ...
Log Entry : 10:52:31 AM Thursday, June 2, 2022 : Start Header Data ...
Log Entry : 10:58:19 AM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 10:58:20 AM Thursday, June 2, 2022 : >> Hos : (001066700-โรงพยาบาลบุรีรัมย์) File Name : BRH_test_MIC_SIR.xlsx
Log Entry : 10:58:21 AM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 10:58:21 AM Thursday, June 2, 2022 : End Read File ...
Log Entry : 10:58:21 AM Thursday, June 2, 2022 : Start Header Data ...
Log Entry : 11:35:23 AM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 11:35:23 AM Thursday, June 2, 2022 : >> Hos : (001066700-โรงพยาบาลบุรีรัมย์) File Name : BRH_test_MIC_SIR.xlsx
Log Entry : 11:35:24 AM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 11:35:25 AM Thursday, June 2, 2022 : End Read File ...
Log Entry : 11:35:25 AM Thursday, June 2, 2022 : Start Header Data ...
Log Entry : 11:36:45 AM Thursday, June 2, 2022 : End Header Data ...
Log Entry : 11:36:45 AM Thursday, June 2, 2022 : Start Save NARST List ...
Log Entry : 11:36:45 AM Thursday, June 2, 2022 : End Save NARST List ...
Log Entry : 11:36:46 AM Thursday, June 2, 2022 : >> End File Name : BRH_test_MIC_SIR.xlsx
Log Entry : 11:36:46 AM Thursday, June 2, 2022 : Batch Lab Complete ...
Log Entry : 11:48:53 AM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 11:48:54 AM Thursday, June 2, 2022 : >> Hos : (001066700-โรงพยาบาลบุรีรัมย์) File Name : BRH_test_MIC_SIR.xlsx
Log Entry : 11:48:56 AM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 11:48:57 AM Thursday, June 2, 2022 : End Read File ...
Log Entry : 11:48:57 AM Thursday, June 2, 2022 : Start Header Data ...
Log Entry : 11:51:02 AM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 11:51:02 AM Thursday, June 2, 2022 : >> Hos : (001066700-โรงพยาบาลบุรีรัมย์) File Name : BRH_test_MIC_SIR.xlsx
Log Entry : 11:51:04 AM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 11:51:04 AM Thursday, June 2, 2022 : End Read File ...
Log Entry : 11:51:04 AM Thursday, June 2, 2022 : Start Header Data ...
Log Entry : 11:52:23 AM Thursday, June 2, 2022 : End Header Data ...
Log Entry : 11:52:23 AM Thursday, June 2, 2022 : Start Save NARST List ...
Log Entry : 11:52:23 AM Thursday, June 2, 2022 : End Save NARST List ...
Log Entry : 11:52:24 AM Thursday, June 2, 2022 : >> End File Name : BRH_test_MIC_SIR.xlsx
Log Entry : 11:52:24 AM Thursday, June 2, 2022 : Batch Lab Complete ...
Log Entry : 12:36:16 PM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 12:36:17 PM Thursday, June 2, 2022 : >> Hos : (001072600-โรงพยาบาลพิจิตร) File Name : W0320THA.xlsx
Log Entry : 12:36:17 PM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 12:39:15 PM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 12:39:16 PM Thursday, June 2, 2022 : >> Hos : (001072600-โรงพยาบาลพิจิตร) File Name : W0320THA.xlsx
Log Entry : 12:39:17 PM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 1:25:11 PM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 1:25:12 PM Thursday, June 2, 2022 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : test_whonet.xlsx
Log Entry : 1:25:13 PM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 1:25:13 PM Thursday, June 2, 2022 : End Read File ...
Log Entry : 1:25:13 PM Thursday, June 2, 2022 : Start Header Data ...
Log Entry : 1:28:59 PM Thursday, June 2, 2022 : End Header Data ...
Log Entry : 1:28:59 PM Thursday, June 2, 2022 : Start Save NARST List ...
Log Entry : 1:29:00 PM Thursday, June 2, 2022 : End Save NARST List ...
Log Entry : 1:29:00 PM Thursday, June 2, 2022 : >> End File Name : test_whonet.xlsx
Log Entry : 1:29:00 PM Thursday, June 2, 2022 : Batch Lab Complete ...
Log Entry : 1:33:00 PM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 1:33:00 PM Thursday, June 2, 2022 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : test_whonet.xlsx
Log Entry : 1:33:01 PM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 1:33:01 PM Thursday, June 2, 2022 : End Read File ...
Log Entry : 1:33:01 PM Thursday, June 2, 2022 : Start Header Data ...
Log Entry : 1:35:25 PM Thursday, June 2, 2022 : End Header Data ...
Log Entry : 1:35:25 PM Thursday, June 2, 2022 : Start Save NARST List ...
Log Entry : 1:35:26 PM Thursday, June 2, 2022 : End Save NARST List ...
