Log Entry : 5:54:37 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 5:54:38 PM Wednesday, June 8, 2022 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : MIC.xlsx
Log Entry : 5:54:40 PM Wednesday, June 8, 2022 : Start Read File ... 
Log Entry : 5:54:41 PM Wednesday, June 8, 2022 : End Read File ...
Log Entry : 5:54:41 PM Wednesday, June 8, 2022 : Start Header Data ...
Log Entry : 5:54:44 PM Wednesday, June 8, 2022 : End Header Data ...
Log Entry : 5:54:44 PM Wednesday, June 8, 2022 : Start Save NARST List ...
Log Entry : 5:54:45 PM Wednesday, June 8, 2022 : End Save NARST List ...
Log Entry : 5:54:45 PM Wednesday, June 8, 2022 : >> End File Name : MIC.xlsx
Log Entry : 5:54:45 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 6:06:03 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 6:06:04 PM Wednesday, June 8, 2022 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : LPN_ZONE_04-06-2021_disk.xlsx
Log Entry : 6:06:05 PM Wednesday, June 8, 2022 : Start Read File ... 
Log Entry : 6:06:06 PM Wednesday, June 8, 2022 : End Read File ...
Log Entry : 6:06:06 PM Wednesday, June 8, 2022 : Start Header Data ...
Log Entry : 6:06:53 PM Wednesday, June 8, 2022 : End Header Data ...
Log Entry : 6:06:53 PM Wednesday, June 8, 2022 : Start Save NARST List ...
Log Entry : 6:06:54 PM Wednesday, June 8, 2022 : End Save NARST List ...
Log Entry : 6:06:55 PM Wednesday, June 8, 2022 : >> End File Name : LPN_ZONE_04-06-2021_disk.xlsx
Log Entry : 6:06:55 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 6:10:59 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 6:10:59 PM Wednesday, June 8, 2022 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : OM.xlsx
Log Entry : 6:11:02 PM Wednesday, June 8, 2022 : Start Read File ... 
Log Entry : 6:11:02 PM Wednesday, June 8, 2022 : End Read File ...
Log Entry : 6:11:02 PM Wednesday, June 8, 2022 : Start Header Data ...
Log Entry : 6:11:49 PM Wednesday, June 8, 2022 : End Header Data ...
Log Entry : 6:11:49 PM Wednesday, June 8, 2022 : Start Save NARST List ...
Log Entry : 6:11:49 PM Wednesday, June 8, 2022 : End Save NARST List ...
Log Entry : 6:11:50 PM Wednesday, June 8, 2022 : >> End File Name : OM.xlsx
Log Entry : 6:11:50 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 6:15:03 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 6:15:03 PM Wednesday, June 8, 2022 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : 1_มค.NPH_who.xlsx
Log Entry : 6:15:04 PM Wednesday, June 8, 2022 : Start Read File ... 
Log Entry : 6:15:05 PM Wednesday, June 8, 2022 : End Read File ...
