Log Entry : 1:10:12 PM Thursday, June 9, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 1:10:13 PM Thursday, June 9, 2022 : >> Hos : (001160000-โรงพยาบาลเซนต์หลุยส์) File Name : SLH_MIC-04-2020.DBF
Log Entry : 1:10:14 PM Thursday, June 9, 2022 : Read File (.DBF) ...
Log Entry : 1:10:43 PM Thursday, June 9, 2022 : End Read File (.DBF) ...
Log Entry : 1:10:43 PM Thursday, June 9, 2022 : >> End File Name : SLH_MIC-04-2020.DBF
Log Entry : 1:10:43 PM Thursday, June 9, 2022 : Batch Lab Complete ...
Log Entry : 3:10:37 PM Thursday, June 9, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 3:10:38 PM Thursday, June 9, 2022 : >> Hos : (001067300-โรงพยาบาลอุตรดิตถ์) File Name : UTHZONEL.DBF
Log Entry : 3:10:39 PM Thursday, June 9, 2022 : Read File (.DBF) ...
Log Entry : 3:11:05 PM Thursday, June 9, 2022 : End Read File (.DBF) ...
Log Entry : 3:11:05 PM Thursday, June 9, 2022 : >> End File Name : UTHZONEL.DBF
Log Entry : 3:11:05 PM Thursday, June 9, 2022 : Batch Lab Complete ...
Log Entry : 4:12:04 PM Thursday, June 9, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 4:12:05 PM Thursday, June 9, 2022 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : 1_มค.NPH_who.xlsx
Log Entry : 4:12:06 PM Thursday, June 9, 2022 : Start Read File ... 
Log Entry : 4:12:06 PM Thursday, June 9, 2022 : End Read File ...
Log Entry : 4:12:06 PM Thursday, June 9, 2022 : Start Header Data ...
Log Entry : 4:12:06 PM Thursday, June 9, 2022 : End Header Data ...
Log Entry : 4:12:06 PM Thursday, June 9, 2022 : Start Save NARST List ...
Log Entry : 4:12:07 PM Thursday, June 9, 2022 : End Save NARST List ...
Log Entry : 4:12:07 PM Thursday, June 9, 2022 : >> End File Name : 1_มค.NPH_who.xlsx
Log Entry : 4:12:07 PM Thursday, June 9, 2022 : Batch Lab Complete ...
