Log Entry : 10:14:43 PM Tuesday, September 7, 2021 : Batch Lab Start 2/2 files ...
Log Entry : 10:14:44 PM Tuesday, September 7, 2021 : >> Hos : (001068300-โรงพยาบาลตรัง) File Name : test_Etest-2020.xlsx
Log Entry : 10:14:44 PM Tuesday, September 7, 2021 : Start Read File ... 
Log Entry : 10:14:45 PM Tuesday, September 7, 2021 : End Read File ...
Log Entry : 10:14:45 PM Tuesday, September 7, 2021 : Start Header Data ...
Log Entry : 10:14:47 PM Tuesday, September 7, 2021 : End Header Data ...
Log Entry : 10:14:47 PM Tuesday, September 7, 2021 : Start Save Detail ...
Log Entry : 10:14:49 PM Tuesday, September 7, 2021 : End Save Detail ...
Log Entry : 10:14:49 PM Tuesday, September 7, 2021 : >> End File Name : test_Etest-2020.xlsx
Log Entry : 10:14:49 PM Tuesday, September 7, 2021 : >> Hos : (001153900-โรงพยาบาลตากสิน) File Name : Test_SameDateFormat_Disk.xlsx
Log Entry : 10:14:50 PM Tuesday, September 7, 2021 : Start Read File ... 
Log Entry : 10:14:50 PM Tuesday, September 7, 2021 : End Read File ...
Log Entry : 10:14:50 PM Tuesday, September 7, 2021 : Start Header Data ...
Log Entry : 10:14:50 PM Tuesday, September 7, 2021 : End Header Data ...
Log Entry : 10:14:50 PM Tuesday, September 7, 2021 : >> End File Name : Test_SameDateFormat_Disk.xlsx
Log Entry : 10:14:50 PM Tuesday, September 7, 2021 : Batch Lab Complete ...
Log Entry : 10:24:19 PM Tuesday, September 7, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 10:24:20 PM Tuesday, September 7, 2021 : >> Hos : (001068300-โรงพยาบาลตรัง) File Name : test_Etest-2020.xlsx
Log Entry : 10:24:21 PM Tuesday, September 7, 2021 : Start Read File ... 
Log Entry : 10:24:21 PM Tuesday, September 7, 2021 : End Read File ...
Log Entry : 10:24:21 PM Tuesday, September 7, 2021 : Start Header Data ...
Log Entry : 10:24:23 PM Tuesday, September 7, 2021 : End Header Data ...
Log Entry : 10:24:23 PM Tuesday, September 7, 2021 : Start Save Detail ...
Log Entry : 10:24:24 PM Tuesday, September 7, 2021 : End Save Detail ...
Log Entry : 10:24:24 PM Tuesday, September 7, 2021 : >> End File Name : test_Etest-2020.xlsx
Log Entry : 10:24:24 PM Tuesday, September 7, 2021 : Batch Lab Complete ...
Log Entry : 10:25:34 PM Tuesday, September 7, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 10:25:35 PM Tuesday, September 7, 2021 : >> Hos : (001068300-โรงพยาบาลตรัง) File Name : test_Etest-2020.xlsx
Log Entry : 10:25:35 PM Tuesday, September 7, 2021 : Start Read File ... 
Log Entry : 10:25:36 PM Tuesday, September 7, 2021 : End Read File ...
Log Entry : 10:25:36 PM Tuesday, September 7, 2021 : Start Header Data ...
Log Entry : 10:25:38 PM Tuesday, September 7, 2021 : End Header Data ...
Log Entry : 10:25:38 PM Tuesday, September 7, 2021 : Start Save Detail ...
Log Entry : 10:25:38 PM Tuesday, September 7, 2021 : End Save Detail ...
Log Entry : 10:25:38 PM Tuesday, September 7, 2021 : >> End File Name : test_Etest-2020.xlsx
Log Entry : 10:25:38 PM Tuesday, September 7, 2021 : Batch Lab Complete ...
Log Entry : 10:26:04 PM Tuesday, September 7, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 10:26:05 PM Tuesday, September 7, 2021 : >> Hos : (001068300-โรงพยาบาลตรัง) File Name : test_Etest-2020.xlsx
Log Entry : 10:26:05 PM Tuesday, September 7, 2021 : Start Read File ... 
Log Entry : 10:26:06 PM Tuesday, September 7, 2021 : End Read File ...
Log Entry : 10:26:06 PM Tuesday, September 7, 2021 : Start Header Data ...
Log Entry : 10:26:08 PM Tuesday, September 7, 2021 : End Header Data ...
Log Entry : 10:26:08 PM Tuesday, September 7, 2021 : Start Save Detail ...
Log Entry : 10:26:08 PM Tuesday, September 7, 2021 : End Save Detail ...
Log Entry : 10:26:09 PM Tuesday, September 7, 2021 : >> End File Name : test_Etest-2020.xlsx
Log Entry : 10:26:09 PM Tuesday, September 7, 2021 : Batch Lab Complete ...
Log Entry : 10:26:38 PM Tuesday, September 7, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 10:26:38 PM Tuesday, September 7, 2021 : >> Hos : (001068300-โรงพยาบาลตรัง) File Name : test_Etest-2020.xlsx
