INFO  2021-09-05 00:00:22,775 MappingDataService::? - GetMappingDataActiveWithModel : MethodStart
INFO  2021-09-05 00:00:25,786 MappingDataService::? - GetMappingDataActiveWithModel : MethodFinish
INFO  2021-09-05 00:00:26,993 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 00:00:27,355 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 00:01:35,529 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-09-05 00:01:35,864 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-09-05 00:01:48,132 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 00:01:48,303 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 00:01:48,366 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 00:01:48,504 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 00:01:48,571 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 00:01:48,718 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 00:01:48,771 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 00:01:49,011 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 00:01:49,081 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 00:01:49,506 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 00:02:40,481 MappingDataService::? - GetWHONetMappingData : MethodStart
INFO  2021-09-05 00:02:40,725 MappingDataService::? - GetWHONetMappingData : MethodFinish
INFO  2021-09-05 00:20:37,650 MappingDataService::? - GetMappingDataActiveWithModel : MethodStart
INFO  2021-09-05 00:20:39,349 MappingDataService::? - GetMappingDataActiveWithModel : MethodFinish
INFO  2021-09-05 00:20:57,414 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
