INFO  2021-09-25 23:35:36,612 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-09-25 23:35:38,648 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-09-25 23:36:04,022 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-09-25 23:36:04,051 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-09-25 23:37:17,174 MappingDataService::? - GetMappingDataWithModel : MethodStart
INFO  2021-09-25 23:37:17,343 MappingDataService::? - GetMappingDataWithModel : MethodFinish
INFO  2021-09-25 23:37:18,606 MappingDataService::? - SaveMappingData : MethodStart
INFO  2021-09-25 23:37:19,056 MappingDataService::? - SaveMappingData : MethodFinish
INFO  2021-09-25 23:37:19,368 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:37:19,454 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:37:19,563 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:37:19,623 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:37:19,735 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:37:19,929 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:37:20,090 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:37:20,355 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-25 23:37:20,573 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:37:20,846 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:38:03,955 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2021-09-25 23:38:03,993 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2021-09-25 23:38:04,118 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2021-09-25 23:38:04,270 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2021-09-25 23:38:04,528 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:38:04,564 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:38:04,663 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:38:04,735 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:38:04,825 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:38:04,930 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:38:05,015 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:38:05,165 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
