INFO  2020-04-01 00:41:23,242 MenuService::? - GetList
INFO  2020-04-01 00:41:25,680 MenuService::? - GetList
INFO  2020-04-01 07:14:23,180 MenuService::? - GetList
INFO  2020-04-01 07:14:25,808 MenuService::? - GetList
INFO  2020-04-01 07:43:05,585 MenuService::? - GetList
INFO  2020-04-01 07:43:07,884 MenuService::? - GetList
INFO  2020-04-01 07:44:03,820 MenuService::? - GetList
INFO  2020-04-01 07:44:06,222 MenuService::? - GetList
INFO  2020-04-01 07:45:26,499 MenuService::? - GetList
INFO  2020-04-01 07:45:28,683 MenuService::? - GetList
INFO  2020-04-01 09:10:01,522 MenuService::? - GetList
INFO  2020-04-01 09:10:05,265 MenuService::? - GetList
INFO  2020-04-01 09:10:24,539 MenuService::? - GetList
INFO  2020-04-01 09:10:24,592 MenuService::? - GetList
