INFO  2021-05-26 12:00:56,461 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-05-26 12:00:59,795 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-05-26 12:01:01,074 WHONETColumnService::? - GetList_Active_WithModel : MethodStart
INFO  2021-05-26 12:01:01,180 WHONETColumnService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-05-26 12:05:58,757 SpecimenService::? - GetList_Active_WithModel : MethodStart
INFO  2021-05-26 12:05:58,883 SpecimenService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-05-26 12:07:16,628 SpecimenService::? - GetList_Active_WithModel : MethodStart
INFO  2021-05-26 12:07:16,646 SpecimenService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-05-26 12:08:30,556 SpecimenService::? - GetList_Active_WithModel : MethodStart
INFO  2021-05-26 12:08:30,576 SpecimenService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-05-26 12:09:46,232 SpecimenService::? - GetList_Active_WithModel : MethodStart
INFO  2021-05-26 12:09:46,247 SpecimenService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-05-26 12:10:21,272 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-05-26 12:10:21,280 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-05-26 12:10:21,337 SpecimenService::? - GetList_Active_WithModel : MethodStart
INFO  2021-05-26 12:10:21,348 SpecimenService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-05-26 12:16:26,299 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-05-26 12:16:26,313 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-05-26 12:16:26,386 SpecimenService::? - GetList_Active_WithModel : MethodStart
INFO  2021-05-26 12:16:26,391 SpecimenService::? - GetList_Active_WithModel : MethodFinish
