INFO  2021-08-03 10:38:10,213 MasterHospitalService::? - GetListWithModel : MethodStart
INFO  2021-08-03 10:38:12,697 MasterHospitalService::? - GetListWithModel : MethodFinish
INFO  2021-08-03 10:38:52,557 MasterHospitalService::? - GetListWithModel : MethodStart
INFO  2021-08-03 10:38:52,608 MasterHospitalService::? - GetListWithModel : MethodFinish
INFO  2021-08-03 10:39:17,919 MasterHospitalService::? - SaveData : MethodStart
INFO  2021-08-03 10:39:18,339 MasterHospitalService::? - SaveData : MethodFinish
INFO  2021-08-03 10:39:19,512 MasterHospitalService::? - GetListWithModel : MethodStart
INFO  2021-08-03 10:39:19,600 MasterHospitalService::? - GetListWithModel : MethodFinish
INFO  2021-08-03 12:19:27,393 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 12:19:28,531 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 12:28:34,206 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 12:28:35,185 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 12:39:00,622 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 12:39:01,544 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 12:39:48,754 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 12:39:48,765 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 12:40:04,566 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 12:40:04,602 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 12:42:17,070 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 12:42:17,079 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 13:26:27,852 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 13:26:28,770 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 13:27:06,506 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 13:27:06,521 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 13:27:06,840 WHONETColumnService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 13:27:06,893 WHONETColumnService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 13:31:23,243 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 13:31:24,222 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 13:36:47,818 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 13:36:47,841 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 13:37:22,281 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 13:37:22,319 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 13:37:22,655 WHONETColumnService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 13:37:22,680 WHONETColumnService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 13:40:41,442 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 13:40:41,449 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 13:40:41,686 WHONETColumnService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 13:40:41,693 WHONETColumnService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 13:41:08,033 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 13:41:08,039 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-03 13:41:08,252 WHONETColumnService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-03 13:41:08,267 WHONETColumnService::? - GetList_Active_WithModel : MethodFinish
