INFO  2021-08-06 11:35:57,104 SpecimenService::? - GetList_Mapping_Active_WithModel : MethodStart
INFO  2021-08-06 11:35:59,232 SpecimenService::? - GetList_Mapping_Active_WithModel : MethodFinish
INFO  2021-08-06 11:44:21,903 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-06 11:44:21,978 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-06 11:44:30,275 WHONETColumnService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-06 11:44:30,361 WHONETColumnService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-06 11:47:26,932 SpecimenService::? - GetList_Mapping_Active_WithModel : MethodStart
INFO  2021-08-06 11:47:26,963 SpecimenService::? - GetList_Mapping_Active_WithModel : MethodFinish
INFO  2021-08-06 11:47:29,392 MasterTemplateService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-06 11:47:29,405 MasterTemplateService::? - GetList_Active_WithModel : MethodFinish
INFO  2021-08-06 11:47:29,812 WHONETColumnService::? - GetList_Active_WithModel : MethodStart
INFO  2021-08-06 11:47:29,823 WHONETColumnService::? - GetList_Active_WithModel : MethodFinish
