Log Entry : 9:49:24 AM Monday, August 2, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : Jan-2021_BRH_HIS.xlsx
Log Entry : 9:49:28 AM Monday, August 2, 2021 : Start Read File ... 
Log Entry : 9:49:34 AM Monday, August 2, 2021 : End Read File ...
Log Entry : 9:49:39 AM Monday, August 2, 2021 : Start Loop Save Header ...
Log Entry : 9:50:01 AM Monday, August 2, 2021 : Unable to cast object of type 'System.String' to type 'System.DateTime'.
Log Entry : 10:02:31 AM Monday, August 2, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : Jan-2021_BRH_HIS.xlsx
Log Entry : 10:02:31 AM Monday, August 2, 2021 : Start Read File ... 
Log Entry : 10:02:31 AM Monday, August 2, 2021 : End Read File ...
Log Entry : 10:02:31 AM Monday, August 2, 2021 : Start Loop Save Header ...
Log Entry : 10:08:37 AM Monday, August 2, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : Jan-2021_BRH_HIS.xlsx
Log Entry : 10:08:37 AM Monday, August 2, 2021 : Start Read File ... 
Log Entry : 10:08:37 AM Monday, August 2, 2021 : End Read File ...
Log Entry : 10:08:37 AM Monday, August 2, 2021 : Start Loop Save Header ...
Log Entry : 10:09:46 AM Monday, August 2, 2021 : End Loop Save Header ...
Log Entry : 10:09:48 AM Monday, August 2, 2021 : Start Save HIS Detail ...
Log Entry : 10:09:49 AM Monday, August 2, 2021 : End Save HIS Detail ...
Log Entry : 10:09:49 AM Monday, August 2, 2021 : 10:09:49 : Batch HIS Complete ... 
