INFO  2021-08-10 10:20:06,041 AntibiogramService::? - GetAntibiogramNationTemplateWithModel : MethodStart
INFO  2021-08-10 10:20:07,649 AntibiogramService::? - GetAntibiogramNationTemplateWithModel : MethodFinish
INFO  2021-08-10 10:20:10,641 AntibiogramService::? - GetAntibiogramHospitalTemplateWithModel : MethodStart
INFO  2021-08-10 10:20:10,760 AntibiogramService::? - GetAntibiogramHospitalTemplateWithModel : MethodFinish
INFO  2021-08-10 10:20:13,087 AntibiogramService::? - GetAntibiogramProvinceTemplateWithModel : MethodStart
INFO  2021-08-10 10:20:13,171 AntibiogramService::? - GetAntibiogramProvinceTemplateWithModel : MethodFinish
INFO  2021-08-10 10:20:20,055 AntibiogramService::? - GetAntibiogramHospitalTemplateWithModel : MethodStart
INFO  2021-08-10 10:20:20,062 AntibiogramService::? - GetAntibiogramHospitalTemplateWithModel : MethodFinish
INFO  2021-08-10 10:20:56,734 ReportService::? - GetOrganismGroupWithModel : MethodStart
INFO  2021-08-10 10:20:56,766 ReportService::? - GetOrganismGroupWithModel : MethodFinish
INFO  2021-08-10 10:20:56,811 ReportService::? - GetAntibiogramHospitalDataWithModel : MethodStart
INFO  2021-08-10 10:20:56,913 ReportService::? - GetAntibiogramHospitalDataWithModel : MethodFinish
INFO  2021-08-10 10:21:12,382 ReportService::? - GetAntibiogramHospitalDataWithModel : MethodStart
INFO  2021-08-10 10:21:12,457 ReportService::? - GetAntibiogramHospitalDataWithModel : MethodFinish
INFO  2021-08-10 10:21:17,289 ReportService::? - GetAntibiogramHospitalDataWithModel : MethodStart
INFO  2021-08-10 10:21:17,299 ReportService::? - GetAntibiogramHospitalDataWithModel : MethodFinish
INFO  2021-08-10 10:21:20,361 ReportService::? - GetAntibiogramHospitalDataWithModel : MethodStart
INFO  2021-08-10 10:21:20,374 ReportService::? - GetAntibiogramHospitalDataWithModel : MethodFinish
INFO  2021-08-10 10:21:47,658 ReportService::? - GetOrganismGroupWithModel : MethodStart
INFO  2021-08-10 10:21:47,668 ReportService::? - GetOrganismGroupWithModel : MethodFinish
INFO  2021-08-10 10:21:50,916 ReportService::? - GetOrganismGroupWithModel : MethodStart
INFO  2021-08-10 10:21:50,925 ReportService::? - GetOrganismGroupWithModel : MethodFinish
