INFO  2021-08-10 10:30:45,521 GlassService::? - GetGlassHospitalAnalyzeModel : MethodStart
INFO  2021-08-10 10:30:47,041 GlassService::? - GetGlassHospitalAnalyzeModel : MethodFinish
INFO  2021-08-10 10:30:56,122 GlassService::? - GetGlassHospitalAnalyzeModel : MethodStart
INFO  2021-08-10 10:30:56,188 GlassService::? - GetGlassHospitalAnalyzeModel : MethodFinish
INFO  2021-08-10 10:31:04,393 GlassController::? - GenerateAnalyzeFile : MethodStart
INFO  2021-08-10 10:31:04,395 GlassService::? - GetGlassReportPath : MethodStart
INFO  2021-08-10 10:31:04,467 GlassService::? - GetGlassReportPath : MethodFinish
INFO  2021-08-10 10:31:04,479 GlassService::? - GetGlassInfectOverviewModel : MethodStart
INFO  2021-08-10 10:31:04,542 GlassService::? - GetGlassInfectOverviewModel : MethodFinish
INFO  2021-08-10 10:31:04,986 GlassService::? - GetGlassPathogenNSModel : MethodStart
INFO  2021-08-10 10:31:05,116 GlassService::? - GetGlassPathogenNSModel : MethodFinish
INFO  2021-08-10 10:31:05,253 GlassService::? - GlassInfectSpecimenModel : MethodStart
INFO  2021-08-10 10:31:05,282 GlassService::? - GlassInfectSpecimenModel : MethodFinish
INFO  2021-08-10 10:31:05,284 GlassService::? - GetGlassInfectPathAntiCombineModel : MethodStart
INFO  2021-08-10 10:31:05,400 GlassService::? - GetGlassInfectPathAntiCombineModel : MethodFinish
INFO  2021-08-10 10:32:01,099 GlassService::? - GetGlassPublicFileListDataModel : MethodStart
INFO  2021-08-10 10:32:01,147 GlassService::? - GetGlassPublicFileListDataModel : MethodFinish
INFO  2021-08-10 10:32:04,588 GlassService::? - GetGlassPublicFileListDataModel : MethodStart
INFO  2021-08-10 10:32:04,602 GlassService::? - GetGlassPublicFileListDataModel : MethodFinish
