INFO  2023-05-29 10:26:16,818 STARSMappingDataService::? - GetMappingList : MethodStart
INFO  2023-05-29 10:26:18,435 STARSMappingDataService::? - GetMappingList : MethodFinish
INFO  2023-05-29 10:26:36,529 STARSMappingDataService::? - GetMappingList : MethodStart
INFO  2023-05-29 10:26:36,699 STARSMappingDataService::? - GetMappingList : MethodFinish
INFO  2023-05-29 10:26:39,808 STARSMappingDataService::? - GetMappingList : MethodStart
INFO  2023-05-29 10:26:39,976 STARSMappingDataService::? - GetMappingList : MethodFinish
INFO  2023-05-29 10:28:29,907 STARSMappingDataService::? - GetMappingDataWithModel : MethodStart
INFO  2023-05-29 10:28:30,080 STARSMappingDataService::? - GetMappingDataWithModel : MethodFinish
INFO  2023-05-29 10:28:50,125 STARSMappingDataService::? - GetMappingDataWithModel : MethodStart
INFO  2023-05-29 10:28:50,299 STARSMappingDataService::? - GetMappingDataWithModel : MethodFinish
INFO  2023-05-29 10:28:52,281 STARSMappingDataService::? - SaveMappingData : MethodStart
INFO  2023-05-29 10:28:52,608 STARSMappingDataService::? - SaveMappingData : MethodFinish
INFO  2023-05-29 10:28:53,017 STARSMappingDataService::? - GetMappingDataById : MethodStart
INFO  2023-05-29 10:28:53,161 STARSMappingDataService::? - GetMappingDataById : MethodFinish
INFO  2023-05-29 10:28:53,249 STARSMappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2023-05-29 10:28:53,386 STARSMappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2023-05-29 10:28:53,512 STARSMappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2023-05-29 10:28:53,617 STARSMappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2023-05-29 10:28:53,700 STARSMappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2023-05-29 10:28:53,822 STARSMappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2023-05-29 10:29:34,545 STARSMappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2023-05-29 10:29:34,710 STARSMappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2023-05-29 10:29:34,853 STARSMappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2023-05-29 10:29:35,228 STARSMappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2023-05-29 10:29:35,575 STARSMappingDataService::? - GetMappingDataById : MethodStart
INFO  2023-05-29 10:29:35,709 STARSMappingDataService::? - GetMappingDataById : MethodFinish
INFO  2023-05-29 10:29:35,790 STARSMappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2023-05-29 10:29:35,921 STARSMappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2023-05-29 10:29:36,000 STARSMappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2023-05-29 10:29:36,201 STARSMappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2023-05-29 10:29:36,292 STARSMappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2023-05-29 10:29:36,507 STARSMappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2023-05-29 10:29:56,740 STARSMappingDataService::? - GetMappingList : MethodStart
INFO  2023-05-29 10:29:56,866 STARSMappingDataService::? - GetMappingList : MethodFinish
INFO  2023-05-29 10:30:00,614 STARSMappingDataService::? - GetMappingList : MethodStart
INFO  2023-05-29 10:30:00,720 STARSMappingDataService::? - GetMappingList : MethodFinish
INFO  2023-05-29 10:31:18,029 STARSMappingDataService::? - GetMappingList : MethodStart
INFO  2023-05-29 10:31:18,130 STARSMappingDataService::? - GetMappingList : MethodFinish
INFO  2023-05-29 10:31:28,767 STARSMappingDataService::? - GetMappingDataById : MethodStart
INFO  2023-05-29 10:31:28,934 STARSMappingDataService::? - GetMappingDataById : MethodFinish
INFO  2023-05-29 10:31:28,999 STARSMappingDataService::? - GetMappingDataWithModel : MethodStart
INFO  2023-05-29 10:31:29,405 STARSMappingDataService::? - GetMappingDataWithModel : MethodFinish
INFO  2023-05-29 10:31:29,478 STARSMappingDataService::? - CopyMappingData : MethodStart
INFO  2023-05-29 10:31:30,035 STARSMappingDataService::? - CopyMappingData : MethodFinish
INFO  2023-05-29 10:31:30,613 STARSMappingDataService::? - GetMappingDataById : MethodStart
INFO  2023-05-29 10:31:30,743 STARSMappingDataService::? - GetMappingDataById : MethodFinish
INFO  2023-05-29 10:31:30,801 STARSMappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2023-05-29 10:31:31,291 STARSMappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2023-05-29 10:31:31,352 STARSMappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2023-05-29 10:31:31,488 STARSMappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2023-05-29 10:31:31,555 STARSMappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2023-05-29 10:31:31,715 STARSMappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2023-05-29 10:31:44,607 STARSMappingDataService::? - GetMappingList : MethodStart
INFO  2023-05-29 10:31:44,724 STARSMappingDataService::? - GetMappingList : MethodFinish
INFO  2023-05-29 10:31:59,593 STARSMappingDataService::? - GetMappingDataById : MethodStart
INFO  2023-05-29 10:31:59,708 STARSMappingDataService::? - GetMappingDataById : MethodFinish
INFO  2023-05-29 10:31:59,782 STARSMappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2023-05-29 10:31:59,915 STARSMappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2023-05-29 10:32:00,015 STARSMappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2023-05-29 10:32:00,121 STARSMappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2023-05-29 10:32:00,211 STARSMappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2023-05-29 10:32:00,360 STARSMappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2023-05-29 10:32:04,979 STARSMappingDataService::? - GetWHONetMappingData : MethodStart
INFO  2023-05-29 10:32:05,109 STARSMappingDataService::? - GetWHONetMappingData : MethodFinish
INFO  2023-05-29 10:32:13,077 STARSMappingDataService::? - GetWHONetMappingData : MethodStart
INFO  2023-05-29 10:32:13,198 STARSMappingDataService::? - GetWHONetMappingData : MethodFinish
INFO  2023-05-29 10:32:14,346 STARSMappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2023-05-29 10:32:14,534 STARSMappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2023-05-29 10:32:14,626 STARSMappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2023-05-29 10:32:14,913 STARSMappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2023-05-29 10:32:15,196 STARSMappingDataService::? - GetMappingDataById : MethodStart
INFO  2023-05-29 10:32:15,355 STARSMappingDataService::? - GetMappingDataById : MethodFinish
INFO  2023-05-29 10:32:15,421 STARSMappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2023-05-29 10:32:15,549 STARSMappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2023-05-29 10:32:15,634 STARSMappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2023-05-29 10:32:15,797 STARSMappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2023-05-29 10:32:15,882 STARSMappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2023-05-29 10:32:16,025 STARSMappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2023-05-29 13:44:45,806 STARSMappingDataService::? - GetMappingList : MethodStart
INFO  2023-05-29 13:44:47,853 STARSMappingDataService::? - GetMappingList : MethodFinish
INFO  2023-05-29 14:40:26,492 STARSMappingDataService::? - GetMappingList : MethodStart
INFO  2023-05-29 14:40:28,041 STARSMappingDataService::? - GetMappingList : MethodFinish
INFO  2023-05-29 17:10:22,598 STARSMappingDataService::? - GetMappingList : MethodStart
INFO  2023-05-29 17:10:23,725 STARSMappingDataService::? - GetMappingList : MethodFinish
